家庭是否愿意讨论,调剂是否可接受,需要排除的组内专业,待补充问题,核验备注,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,是否进入机器初筛观察池,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,不得进入原因,下一步,专业组出现ID,稳定基座专业组筛选ID
,,,,,A036,对外经济贸易大学,A03609,09,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,6,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,115,111,18,right,1.26 金融学类（含金融学、金融学（国际金融与市场）、经济与金融、投资学、保险学专业；按成绩和志愿分入学院内可类内专业任选，保险学分流原则上反接收第一志愿的学生）[M-e37c537c3c0fc576]；2.27 经济学类（分流时专业任选；国际经济与贸易、财政学、税收学）[M-796d0752837f0120]；3.28 金融工程（大类招生，项目选拔进入分流时专业任选：含金融工程、金融科、金融科技（北邮人工智能联合学士学位培养项目）专业）[M-a496f5d0f877b347]；4.29 会计学（全部进入北邮计算机联合学士学位培养项目）[M-12aaf0dddf6d012f]；5.30 法学类（法学、法学（大数据双学士学位项目））[M-3232bca6bbe837d2]；6.31 精算学（选拔进入双学士学位项目或实验班；可参与精算学-劳动与社会保障双学士学位项自或精算与风险管理麥验班选拔；国际交流：自愿参与曼彻斯特大学、肯特大学联合培养 2+2项目选拔）[M-dd9cb44a45787058],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-bd862a1cd2f62bb3,STABLEGROUP-5fa866c349c02c5d
,,,,,A054,华北电力大学（北京）,A05404,04,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,10,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,137,115,19,right,1.12 电气工程及其自动化（办学地点：北京[M-32393e29b3c90fcf]；2.13 智能电网信息工程（办学地点：北京校[M-6ebd5337c3053c85]；3.14 通信工程（办学地点：北京校部）[M-b546f8f699ce16f5]；4.15 电子科学与技术（办学地点：北京校[M-c57b7c42080013c4]；5.16 计算机科学与技术（办学地点：北京校•zKAG院校专业组及妻业代号[M-1f9f547fa4a7c7ae]；6.17 自动化（办学地点：北京校部）[M-cd2b791a56709d75]；7.18 人工智能（办学地点：北京校部）[M-294bbd0f99123de2]；8.19 软件工程（办学地点：北京校部）[M-3bbaab24b8d9a801]；9.20 测控技术与仪器（办学地点：北京校[M-3c94f7c3b1c2a88c]；10.21 信息与计算科学（办学地点：北京校[M-351ae44151f66fc2],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-6db119890350c5bd,STABLEGROUP-0d470da4f03eb11e
,,,,,A097,东华大学,A09703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,11,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,129,108,28,left,1.09 管理科学与工程类（信息管理与信息系统；电子商务；供应链管理；其中信电子商务专息管理与信息系统专业、业授予工学学士学位；办学地点：延安路校区）[M-1d0ff47374804e7f]；2.10 计算机类（软件工程；计算机科学与技术：办学地点：松江校区）工人工智能（专业选修方向分为：智能计覓亮院校专李业组及专业代号算点知迟工程、智能感知与机器人：办学地点：松江校区）[M-e03817730ff9c056]；3.12 电子信息类（电气工程及其自动化：自动化：通信工程：办学地点：松江校区）[M-4cd275d62921b6b0]；4.13 物理学类（集成电路与新能源：应用物理学（集成电路与新能源）：光电信息科学与工程：办学地点：松江校区）[M-b1a995f4f3472bac]；5.14 集成电路设计与集成系统（办学地点：松江校区）[M-1269ad08e0419a67]；6.15 数学类（智能科学方向：数学与应用数学：统计学（金融统计与风险管理）；办学地点：松江校区）[M-df8cebc4b8e7573f]；7.16 智能制造工程（办学地点：松江校区）[M-a12f62bf77d4724d]；8.17 工业设计（办学地点：松江校区）[M-527fb4a84acb1a5f]；9.19 环境科学与工程类（环境方向：环境工程（卓越班）：环境科学（智能与资源循环）：办学地点：松江校区）[M-6f30a111c83a9f1f]；10.20 环境科学与工程类（新能源与储能技术方向；建筑环境与能源应用工程：能源与环境系统工程；办学地点：松江校[M-fb2b9f769f1b3bf3]；11.21 理科试验班（钱宝钧糯英班：人工智能：软件工程：计算机科学与技术；电工程及其自动化；自动化：通信工程；能源与环境系统工程；机械工程循息管理与信息系统；乘成电路设计与集成系统；数学与应用数学等专业高起点，强基础，大一结束后面向全校理工科专业优先...[M-276353eea6b32802],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-83e80589234dd1a8,STABLEGROUP-a62ab311cefda774
,,,,,A103,上海财经大学,A10303,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,4,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,130,103,29,left,1.14 统计学类（统计学（基地班）：经济统计学（金融统计与风险管理）：数据科学统计学（基地班）全校选拔，其他专业[M-4f8727eb29718f3c]；2.15 人工智能[M-9dcf3b437b5fb03a]；3.16 数据科学与大数据技术[M-90b3982d01bc44df]；4.17 数学类（信息与计算科学：数学与应用效学；数学与应用数学（双学士学位）；数学与应用数学+经济学双学士学位入校后即考核选拔，其他专业任选）A107南京大学（公办）（江苏）[M-118bff8da9e5797b],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-d1e8d2e5c0046816,STABLEGROUP-a86fa3a5c62458bb
,,,,,A151,华中师范大学,A15117,17,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,1,2,0,0,0,6,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,1,114,114,42,right,1.35 心理学（双学士学位项目：心理学+人工智能双学士学位项目，学生完成学业后可授予理学和工学双学士学位证[M-d8d408ed9529477e]；2.36 心理学类（心理学：应用心理学）[M-359f8b05636564d6]；3.37 教育学（创新实验班）[M-dc7231408bc9c678]；4.38 经济学（经济学、数学双学士学位项貝；经济学+数学与应用数学双学士学位项自，学生完成学业后可授予经济学和理学双学士学位证书）[M-c6aa519ba4236cae]；5.39 教育技术学（师范类；未来卓越教师实验班、非公费师范）[M-17cb452322d7db4c]；6.40 信息资源管理（含数据基座基地班）[M-4eb26816013305a0],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-a2fb9d33e40aa572,STABLEGROUP-a51f687afcb0fb6f
,,,,,A157,湖南大学,A15708,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,8,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,134,125,44,right,1.34 应用物理学（入校后可选拔进入理科[M-45ed6104e5d1122d]；2.36 智能制造工程（含智能制造工程、机械设计制造及其自动化，专业分流时在上述专业内任选：入校后可选拔进入工科试验班（人工智能类）、能源与动次工程专业（未来能源与动力创新实[M-d99da60e1e6e08c2]；3.37 智能车辆工程（含智能车辆工程、车辆丁程，专业分流时在上述专业内任选；入校后可选拔进入工科试验班（人工智能类）、能源与动力工程专业（未来能源与动力创新实验班））[M-a2e1a03d858c461b]；4.38 材料科学与工程（含电子信息材料、材料科学与工程，专业分流时在上述专[M-e15204d16b557b2b]；5.39 人工智能（含人工智能、机器人工程、自动化，专业分流时在上述专业内任选；入校后可选拔进入工科试验班（人[M-fcad49eedb25d779]；6.40 自动化（貪人工智熊、机器人工程、动化，专亚分流时在上述专业内任选入校后可选拔进入工科试验班（人工[M-b85664524498dedb]；7.41 给排水科学与工程42（智能建造（含智能建造、土木工程、工程管理，专业分流时在上述专业内任选；入校后可选拔进入工科试验班（人[M-8cc92ced1115fc5e]；8.43 工程力学（力学实验班；入校后可选拔进入理科试验班）[M-7d9567e822b3a4af],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-48d62d6c48bffe3e,STABLEGROUP-a23e94828b9addd6
,,,,,A171,西南交通大学,A17106,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,3,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,124,82,48,left,1.17 人工智能（办学地点：成都犀浦校区）[M-0bfebad7012a909a]；2.18 计算机类（计算机科学与技术；软件工程：办学地点：成都犀浦校区）[M-701b04278f43ddd3]；3.19 数据科学与大数据技术（办学地点：成都犀浦校区）[M-e8e5bf7bad59efa8],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-30fe5b9436c0ca26,STABLEGROUP-b89610c39738b6c0
,,,,,A171,西南交通大学,A17109,09,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,6,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,129,103,48,right,1.28 机器人工程（办学地点：成都犀浦校[M-b6d9bcc503cf3c0e]；2.29 信息安全（办学地点：成都犀浦校区）[M-95cdd44a3e5b8cbf]；3.30 生木工程（土木与大数据双学位：士木工程+数据科学与大数据技术双学士学位；办学地点：成都犀浦校区）[M-484eb88f1540f821]；4.31 建筑学（建筑学与大数据双学位；建筑学+数据科学与大数据技术双学士学位；办学地点：成都犀浦校区；学制：五[M-2fd32a629615f133]；5.32 低空技术与工程（办学地点：成都犀浦校区）[M-aa07650889b3b311]；6.33 集成电路科学与工程（办学地点：成都犀浦校区）[M-0b787413d689f653],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-5b3a9bb6a394da1c,STABLEGROUP-526bb51212b73597
,,,,,A187,西安电子科技大学,A18703,03,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,8,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,140,117,54,left,1.06 电子信息类（通信：含通信工程、信息工程、空间信息与数字技术专业；办学地点：长安校区）[M-2221e2ce54813fcb]；2.07 电子信息类（电子工程；貪电子信息工信息对抗技术、电磁场与无线技术专业；办学地点：长安校区）[M-a6b1b715f41e93d2]；3.08 电子信息类（集成电路；含微电子科学与工程、集成电路设计与集成系统专业：办学地点：长安校区）[M-fb20f4d69d7cb640]；4.09 电子信息炎（电子科学、信息物理、罕天信息；含电子科学与技术、光电信息科学与工程、电子信息科学与技术、空间科学与技术、探测制导与控制技术、遥感科学与技术，低空技术与工程专业：办学地点：长安校区）[M-6e5ab4c3d33efadf]；5.10 计算机类（含计算机科学与技术、软件工程专业：软件工程专业一人每年学费6600元，三、四年级按学分计，每学分不超过400元，总学分不高子80学分：办学地点：长安校区）[M-09cdca5ca21d3b0e]；6.11 计算机类（网络安全：含信息安全、网終空间安全专业：办学地点：长安校[M-0cdc8733b00026b1]；7.12 计算机类（智能；含智能科学与技术、人工智能专业；办学地点：长安校区）[M-184bf43850e1047e]；8.13 自动化类（智能制造及智能测控：含机工业设计械设计制造及其自动化、电子封装技术、电气工程及其自动化、自动化、测控技术与仪器，机器人工程专业：办学地点：长安校区）[M-f08462fc75ee9542],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-768f3fe1e9af0cd5,STABLEGROUP-cb0ad3b3dfe081b4
,,,,,A213,中国地质大学（北京）,A21307,07,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,0,3,0,0,0,4,7,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,142,96,59,left,1.21 地理信息科学（一年级在北京校区年级起在雄安校区；不招色盲、单色识别不全）[M-fee5a85a2f382589]；2.22 软件工程（一年级在北京校区，二年级起在雄安校区）[M-124db7799855bb1f]；3.23 数据科学与大数据技术（一年级在北京校区，三年级起在雄安校区：不招单色识别不全）[M-47be94d58325e87a]；4.24 人工智能（一年级在北京校区，二年级起在雄安校区）[M-1be0b4c1c2121b85]；5.25 环境工程（一年级在北京校区，二年级起在雄安校区；不招色盲、色弱、单色识别不全）[M-0d3d0beb1832f876]；6.26 海洋科学（一年级在北京校区，二年级GAAZ◎K阮校代号起在雄安校区；不招色盲、色弱、单色[M-ff3216ecf4b9a5d2]；7.27 数学与应用数学（一年级在北京校区，[M-0eacae0470326892],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-3607d82e6ad879e6,STABLEGROUP-7d3f0995b83142c6
,,,,,A329,东北大学秦皇岛分校,A32904,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,11,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,126,116,61,right,1.09 数学类（数学与应用数学：应用统计学：数据科学与大数据技术）[M-48ace8acc8f9fb17]；2.10 机械类（机械工程：车辆工程）[M-33d9bd81313af9d5]；3.11 材料爽（材料成型及控制工程：材料本学与工程；治金工程；资源勘查工程；环境工程）[M-0f32e43c1a96cf73]；4.12 电子信息工程[M-e7e150489b189930]；5.13 通信工程[M-706d7ffdbe9d4acf]；6.14 頁动化类（自动化；电气工程及其自动[M-850ed0e6243a5e47]；7.15 仪器类（测控技术与仪器；光电信息科[M-a153e07ab42cde3a]；8.16 计算机科学与技术[M-16391b6d941edc20]；9.17 物联网工程[M-c19e83177a9d35e7]；10.18 智能感知工程[M-fd2f9b33b02ff38b]；11.19 机械电子工程[M-daab4365046d8b92],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-9ca485c358e6ca00,STABLEGROUP-f77636dd626a4950
,,,,,C103,湖北大学,C10314,14,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,11,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,3,86,72,66,left,1.54 人力资源管理（办学地点：长江新区校[M-8747bcef2edda411]；2.55 大数据管理与应用（办学地点：长江新[M-c6ecdcb6eb67aeef]；3.56 金融学（办学地点：长江新区校区）[M-b46f0dec9219c523]；4.57 旅游管理（数智文旅创新实验班；办学地点：长江新区校区）[M-94c3c93a8c224641]；5.58 行政管理（数智治理创新实验班；办学地点：长江新区校区）[M-45849bdfa16235b4]；6.59 国际经济与贸易（国际贸易与数字智能技术双学士学位培养项目：“理论经济＋软件工程”双学士学位复合型人才培养，学生达到培养要求后，可获得本科毕业证书和相应双学士学位证书〈经济学学古、工学学士）；办学地点：[M-57bc12d538ff70f3]；7.60 大数据管理与应用（数智供应链创新实验班；办学地点：长江新区校区）[M-4252fc607d379f45]；8.61 新闻传播学类（含新闻学（融合新闻学）、广告学（数智创意传播）专业；办学地点：长江新区校区）[M-67fd6d2f7d83a1d5]；9.62 新回学（智能与计算传握创新实验班；办学地点：长江新区校区）[M-b94dc65ae741ac61]；10.63 会计学（办学地点：长江新区校区）[M-e8e81187a162cccc]；11.64 数字经济（办学地点：长江新区校区）[M-6c6d9fd51ce7691e],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-57209b8794f45397,STABLEGROUP-ac154ed273bae681
,,,,,C105,长江大学,C10515,15,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,8,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,1,70,70,68,left,1.92 机器人工程（办学地点：荆州校区）[M-5336d7836cebe761]；2.93 电子信息工程《卓越工程师计划，首批新工科研究与实践试点；办学地点：荆[M-4e6de82b3c48022e]；3.94 电气工程及其自动化（办学地点：荆州[M-a9bd0c6fe841ee0c]；4.95 自动化（湖北省战略性新兴产业人才培养计划：办学地点：荆州校区）[M-baa46b6953b7ea8d]；5.96 集成电路设计与集成系统（办学地点：荆州校区）[M-4301bd7a878b11d1]；6.97 计算机科学与技术（办学地点：荆州校[M-4f8f5ba487d8e4e2]；7.98 网络工程（办学地点：荆州校区）[M-dfe3be3fdf03b488]；8.99 智能科学与技术（办学地点：荆州校区）[M-61f8ba7c2d3693a6],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-ffc5b786b53faa82,STABLEGROUP-355ef34bd3779bb0
,,,,,C109,武汉工程大学,C10907,07,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,15,V1-偏好专业优先线索,true,R2-P1页列集中核,H5-历史最高线高于等位分30分以上,2,57,41,71,left,1.48 唐子信息工程（含集成电路设计、模式识别与智能系统方向）[M-5c464056a86b61ae]；2.49 通信工程（含5G通信、智能通信方向）[M-d4be5635034da2a5]；3.50 億息工程（含智能信息处理方向、智能信息系统方向）[M-87627f2fb346093e]；4.51 测控技术与仪器（智能传感器及智能工程方向）[M-2a141ddab0994bb7]；5.52 自动化（含智能机器人方向、智能控制与技术方向）[M-b2250c610c218a56]；6.53 信息与计算科学[M-3bf914afd977cfea]；7.54 数据科学与大数据技术[M-0ea911e73cc728b4]；8.55 光电信息科学与工程（含光电芯片、先进光学方向）[M-6afd3e3c75020201]；9.56 能源与动力工程（含智能人工环境、新能源与储能科学方向）[M-6807a614ecb0896c]；10.57 生物工程（生物智能制造方向）[M-d175fe9f18ab3e15]；11.58 生物技术（生物信息与健康大数据分析方向）[M-4b57066ad5ca793e]；12.59 食品科学与工程（健康食品安全智造方向）[M-57635daf0d2afe88]；13.60 环境科学（环境大数据与信息技术方[M-f890d795ec8344e2]；14.61 应急技术与管理[M-2992a892a0d85d36]；15.62 安全工程[M-e0b0a676ca35390b],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-204b08088994ce59,STABLEGROUP-3cdaea82cba4b4ac
,,,,,C133,湖北师范大学,C13310,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,1,1,1,0,0,0,15,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,2,36,-7,78,left,1.41 统计学[M-085244b88db3ff3f]；2.42 光电信息科学与工程[M-45f1ec8a7509a178]；3.43 集成电路设计与集成系统[M-ef103d2243811cbd]；4.44 化学（非师范）[M-db5a957c8b09eec6]；5.45 应用化学[M-c219be84777b0826]；6.46 化学工程与工艺[M-750651ccb4be770c]；7.47 环境工程資富計李院校及专业代号[M-3638cfaf7984e537]；8.48 食品科学与工程[M-c2a5931ce553aa87]；9.49 电气工程及其自动化[M-459d7b6e15772db9]；10.50 自动化[M-3812b835e36089ea]；11.51 计算机科学与技术[M-84cbf4fe12f920bf]；12.52 通信工程[M-8ae852c05e1e85e1]；13.53 数字媒体技术[M-15177b26212882d0]；14.54 材料科学与工程[M-d8285f258f4d719a]；15.55 材料化学[M-7af1afa7f74d695c],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-4b176ed1a76f733b,STABLEGROUP-c65a827e2bdeeeef
,,,,,F093,天津理工大学,F09302,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,6,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,75,62,95,left,1.03 信息安全[M-c0e94e6064b6f78d]；2.04 数据科学与大数据技术[M-7ecad8cc1b8ab61a]；3.05 人工智能[M-905ab4a2a69b7190]；4.06 电子科学与技术[M-f31dda963e060761]；5.07 微电子科学与工程[M-c808c179ad4bdbae]；6.08 光电信息科学与工程[M-10cb26f37fd10f7f],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-cf2a3f94c79c81af,STABLEGROUP-617bade162aee5a8
,,,,,F097,天津师范大学,F09703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,0,2,3,0,0,1,6,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,81,57,96,left,1.15 人工智能（师范类）[M-974a3f425d1b68f6]；2.16 数学与应用数学[M-8fa9c5cc2ce4a7cb]；3.17 数学与应用数学（师范类）[M-02ce6d47429ee45e]；4.18 数据计算及应用[M-bdedda7297201193]；5.19 生物技术（不招收色直、色弱和不能准确识别红、黄、绿、蓝、紫各种颜色中任何一种颜色的导线、按键、信号灯、几何图形的考生）[M-310f1e8be2d92368]；6.20 数据科学与大数据技术F098 天率职业技术师范大学（公办）（天津）[M-d8488b50e4754400],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-5fd0b0cdc51076cb,STABLEGROUP-8fe9c97abd1ec9fc
,,,,,F465,沈阳理工大学,F46502,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,0,3,0,0,0,1,19,V1-偏好专业优先线索,true,R1-P0整组先核,H5-历史最高线高于等位分30分以上,3,59,39,113,left,1.02 机械设计制造及其自动化[M-1f7906ee964e6574]；2.03 机械电子工程[M-64f3ddeb8917bf45]；3.04 车辆工程[M-d803b9392c0ea3e2]；4.05 智能制造工程[M-53728e37d30614fb]；5.06 测控技术与仪器[M-a9521fff956240af]；6.07 金属材料工程[M-1b515ae64929991f]；7.08 电气工程及其自动化[M-c3caa8145a51dfa5]；8.09 电子信息工程[M-57934b2fbf097324]；9.10 电子科学与技术[M-252ebd694fb3c9d6]；10.1 通信工程G◎KAZ院校代号[M-f491fc0e0cf5e626]；11.12 自动化[M-b1ad715178efa6c1]；12.13 机器人工程[M-e0f9e9843db0fb2b]；13.14 计算机科学与技术（不招单色识别不全者）[M-adcae338bf6808e0]；14.15 网络工程[M-95821e09539f0553]；15.16 智能科学与技术[M-896140c6f9421bfe]；16.17 武器发射工程[M-1cbab14411bd2694]；17.18 弹药工程与爆炸技术[M-676c61b46a5bc965]；18.19 装甲车辆工程[M-34cfd7691eeb69ea]；19.21 新能源材料与器件F466辽宁科技大学（公办）（辽宁）[M-43e56c9064e54b87],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-025b8b335ad9e8ec,STABLEGROUP-d03a63baceb5a0a5
