扩展预算场景专业ID,专业组出现ID,场景判断,费用判断,中外合作或高收费线索,是否医学相关待确认,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,人工核验优先级,人工核验强度,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID
COOPMAJOR-d3ad4dacb2d2caaa,G-a22bc25269f88d14,预算内中外合作/高收费可讨论,预算内,学费候选 36000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F632,吉林外国语大学,F63206,1,31,鲜语（中外合作办学）（零起点，与韩国釜山外国语大学合作办学，采取13+1 培养模式；外语语种：不限）F633 长春光华学院（民办）（吉林）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,中外合作或高收费；语种或单科限制,不限,2,36000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-34,-59,123,left,M-e77e348ac2679592
COOPMAJOR-7a2c75d5d597fe94,G-98299915d501599c,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F633,长春光华学院,F63302,1,04,电气工程及其自动化（办学地点：武汉路校区）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,25000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-57,-60,123,left,M-37476fabb6f51ef0
COOPMAJOR-2d2b437edd44b85a,G-98299915d501599c,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F633,长春光华学院,F63302,2,05,社算机科学与技术（办学地点：武汉路校区）F634 长春工业大学人文信息学院（独立）（吉,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,25000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-57,-60,123,left,M-4062ba78c706d13f
COOPMAJOR-9c9ab133980fce16,G-2d4857a60a8936ee,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F635,长春电子科技学院,F63502,1,03,通信工程,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,26000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-50,-67,123,right,M-98e4886a02acf09a
COOPMAJOR-022b50b4c53c6816,G-2d4857a60a8936ee,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F635,长春电子科技学院,F63502,2,04,电气工程及其自动化,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,26000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-50,-67,123,right,M-7d893f74085b536c
COOPMAJOR-11b61b8a5f06433e,G-2d4857a60a8936ee,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F635,长春电子科技学院,F63502,4,06,机械设计制造及其自动化,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,26000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-50,-67,123,right,M-10449188275389e8
COOPMAJOR-d38aadb5403b87ad,G-2d4857a60a8936ee,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F635,长春电子科技学院,F63502,5,07,光电信息科学与工程（理学学位）F636 长春財经学院（民办）（吉林）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,9,26000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-50,-67,123,right,M-409b09f06a6db875
COOPMAJOR-8a9e79893ae6b24c,G-ac0fbf9884d3a35e,预算内中外合作/高收费可讨论,预算内,学费候选 28000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F639,长春科技学院,F63901,2,02,网络与新媒体,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,28000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-50,-57,123,right,M-4ff6fe1ba2582e1e
COOPMAJOR-6da5762af80cfb06,G-235425fa7382168c,预算内中外合作/高收费可讨论,预算内,学费候选 28000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F639,长春科技学院,F63902,1,03,机械设计制造及其自动化,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,28000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-53,-62,123,right,M-05707db2ae91df4a
COOPMAJOR-81ab370218b89d37,G-fe6458c7af01a55d,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F651,吉林师范大学博达学院,F65103,4,11,财务管理,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-45,-52,123,right,M-e7b5c64e878df3a6
COOPMAJOR-2cd845d9ed369b06,G-aef94ad536c5c010,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F651,吉林师范大学博达学院,F65104,2,13,电子信息工程,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,25000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-50,-65,123,right,M-af8659363af6766e
COOPMAJOR-2a57360b8e3a65a9,G-aef94ad536c5c010,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F651,吉林师范大学博达学院,F65104,3,14,食品质量与安全,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,25000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-50,-65,123,right,M-e0ff473f11ac9671
COOPMAJOR-d717aaf2520cd7a9,G-5c4bf80f0311ed1a,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F652,长春大学旅游学院,F65202,1,04,会计学（办学地点：奢岭校区）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,26000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-57,-68,123,right,M-49e4e4f398033434
COOPMAJOR-5bc61b4a4c54eff2,G-5c4bf80f0311ed1a,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F652,长春大学旅游学院,F65202,2,05,汉语国际教育（办学地点：奢岭校区）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,26000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-57,-68,123,right,M-209eea27e495b212
COOPMAJOR-55f2100d3f19677e,G-5c4bf80f0311ed1a,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F652,长春大学旅游学院,F65202,3,06,跨境电子商务（办学地点：奢岭校区）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,25000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-57,-68,123,right,M-c305b9e7e520a95b
COOPMAJOR-643b53f875c94797,G-765a466d7312317a,预算内中外合作/高收费可讨论,预算内,学费候选 3850 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F683,黑龙江大学,F68312,1,27,会计学（与澳大利亚麦考瑞大学2+2联合培养双学士学位，第一、第二学年，学费为3850元/在黑龙江大学学习学年；第三、第四学年须赴外方大学学习攻读学位，学费约 47000澳币/学年，外方教学语言为英语；其他详细信息务必查阅学校招生网站）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,学费超过当前上限,,2,3850,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,124,left,M-a60ca44c4f5e0158
COOPMAJOR-92565239e9235567,G-0b04f3eb5d1da9f2,预算内中外合作/高收费可讨论,预算内,学费候选 15000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F685,黑龙江科技大学,F68505,1,17,土木工程（中外合作办学）（与俄罗斯运东联邦大学合作办学，学制四年，故F686 东北石油大学（公办）（黑龙江）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,,15000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,124,right,M-b7b8ff8003b7053d
COOPMAJOR-5bdb5fb4bd476618,G-d3dc1274db9711fe,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F736,黑龙江东方学院,F73601,1,01,机械设计制造及其自动化,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,25000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H0-无同代码历史线索,,,127,right,M-59f13de69dd00c45
COOPMAJOR-e969f7d8ca15cd2e,G-d3dc1274db9711fe,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F736,黑龙江东方学院,F73601,2,02,机械电子工程,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,127,right,M-61eb9f614f9a1cef
COOPMAJOR-f48455fef8dbd746,G-d3dc1274db9711fe,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F736,黑龙江东方学院,F73601,3,03,新能源汽车工程,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,3,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,127,right,M-fa392cf6b5de61b3
COOPMAJOR-8333f86288390263,G-d3dc1274db9711fe,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F736,黑龙江东方学院,F73601,4,04,机器人工程,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,3,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,127,right,M-9c8b83268597e4f0
COOPMAJOR-3c17daace223ae5b,G-d3dc1274db9711fe,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F736,黑龙江东方学院,F73601,5,05,农业智能裝备工程,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,127,right,M-91705fb71e26b601
COOPMAJOR-3b8474006ff22940,G-d3dc1274db9711fe,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F736,黑龙江东方学院,F73601,6,06,智能制造工程F737哈尔滨信息工程学院（民办）（黑龙江）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,5,25000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,127,right,M-75b73bebce0cb663
COOPMAJOR-3940273adac74d17,G-6e7fa83727c52309,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F738,齐齐哈尔工程学院,F73801,1,01,机械设计制造及其自动化,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,25800,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H0-无同代码历史线索,,,127,right,M-fb462835aa2df2c1
COOPMAJOR-eadb8e8d590e2159,G-6e7fa83727c52309,预算内中外合作/高收费可讨论,预算内,学费候选 26800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F738,齐齐哈尔工程学院,F73801,2,02,新能源資车工程,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,26800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,127,right,M-848e5ac745b5d5a1
COOPMAJOR-a1b3d00dee2646f4,G-6e7fa83727c52309,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F738,齐齐哈尔工程学院,F73801,3,03,电气工程及其自动化F740 黑龙江财经学院（民办）（黑龙江）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,25800,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,127,right,M-0e1126dce936e98d
COOPMAJOR-5d9e87881abde81a,G-0605ed46b32b8367,预算内中外合作/高收费可讨论,预算内,学费候选 27000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F740,黑龙江财经学院,F74002,1,05,会计学（数智会计方向）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,不限,2,27000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-53,-65,127,right,M-991ed118b3c99d6b
COOPMAJOR-c71549e19d0a504f,G-0605ed46b32b8367,预算内中外合作/高收费可讨论,预算内,学费候选 27000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F740,黑龙江财经学院,F74002,2,06,审计学（数智审计方向）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,27000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-53,-65,127,right,M-b5ce9536097994dc
COOPMAJOR-7bd92828a366dcf5,G-5ad7a7666637d31f,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F740,黑龙江财经学院,F74003,1,07,电子信息工程（低空智联网方向）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,25000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-51,-314,127,right,M-e6dac5dbac665cc5
COOPMAJOR-98d8607c05e99918,G-47dc9ae03ff94808,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F741,哈尔滨石油学院,F74102,1,03,机械设计制造及其自动化（英才班）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,25800,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-42,-58,127,right,M-b3efa3f5a47ad3f7
COOPMAJOR-284b9b4f1f44c6ba,G-374cc4b9adcab9c4,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F743,哈尔滨远东理工学院,F74301,1,01,电气工程及其自动化,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,6,25800,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-54,-64,127,right,M-65d95ed95963e333
COOPMAJOR-82a28a2d2b6cd70e,G-94e796ec3dad5d5f,预算内中外合作/高收费可讨论,预算内,学费候选 21500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F743,哈尔滨远东理工学院,F74302,3,03,网络与新媒体,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,21500,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,128,left,M-e68b7917097268a0
COOPMAJOR-bc7c70edbe8f2fd9,G-94e796ec3dad5d5f,预算内中外合作/高收费可讨论,预算内,学费候选 21500 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F743,哈尔滨远东理工学院,F74302,4,04,財务管理F74503 黑龙江工程学院昆仑旅游学院第 03化学,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,学费超过当前上限,,3,21500,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,128,left,M-8649c2ddbbc0d492
COOPMAJOR-9ee1fa34ee8504c2,G-f3d1e5108e9d3457,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F747,哈尔滨华德学院,F74702,1,02,工商管理（智慧商业运营）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,25800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,128,left,M-c9eecf2dd474d8f5
COOPMAJOR-6ee24c89ee1101be,G-a9585d385d3e5e68,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F747,哈尔滨华德学院,F74703,1,03,电气工程及其自动化,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,25800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,128,left,M-cad57d9e69f92f9b
COOPMAJOR-da6ac26e4f1b5772,G-a9585d385d3e5e68,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F747,哈尔滨华德学院,F74703,2,04,新能源沉车工程F778上海理工大学（公办）（上海）,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,25800,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,128,left,M-47a291b6e4897c42
COOPMAJOR-0d70e63a929ff6e0,G-5eed877d90ef7a7c,预算内中外合作/高收费可讨论,预算内,学费候选 30000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F778,上海理工大学,F77804,1,08,机械设计制造及其自动化（中外合作办学）（中英合作；办学地点：徐汇校,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,,30000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,101,91,128,left,M-af9a5e10a7d23ef1
COOPMAJOR-3c0aeca06194eb52,G-c494127e15a22a12,预算内中外合作/高收费可讨论,预算内,学费候选 21000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F785,上海师范大学,F78504,4,10,汔车服务工程（中外合作办学）（中德食作.建议无色盲：办学地点：奉贤校,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,体检或色觉限制；中外合作或高收费,化学,5,21000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,57,57,129,left,M-a5e81d76e7385476
COOPMAJOR-38d85d5547b23b98,G-c494127e15a22a12,预算内中外合作/高收费可讨论,预算内,学费候选 21000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F785,上海师范大学,F78504,5,11,杰工程（中外合作办学）（中英合作：建议近视不高于 800度；办学地点：奉,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,6,21000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,57,57,129,left,M-ee423274e2c145ad
COOPMAJOR-4e573882192a41e3,G-e68b7be352c85c7d,预算内中外合作/高收费可讨论,预算内,学费候选 40000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F791,上海大学,F79104,1,07,團际经济与贸易（中外合作办学）（中澳合作：办学地点：嘉定校区）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,不限,3,40000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,130,120,129,right,M-91211d481a99c155
COOPMAJOR-0848eed3b77e6c7c,G-e68b7be352c85c7d,预算内中外合作/高收费可讨论,预算内,学费候选 40000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F791,上海大学,F79104,2,08,工商管理（中外合作办学）（中澳合作：办学地点：嘉定校区）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,6,40000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,130,120,129,right,M-5413dddf0eec03a3
COOPMAJOR-880a32795afc6af2,G-e68b7be352c85c7d,预算内中外合作/高收费可讨论,预算内,学费候选 40000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F791,上海大学,F79104,3,09,信息管理与信息系统（中外合作办学）（中澳合作：办学地点：嘉定校区）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,4,40000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H5-历史最高线高于等位分30分以上,130,120,129,right,M-dc73d277ae256b95
COOPMAJOR-3c698907e1f0b0dd,G-2a1bea080f03593e,预算内中外合作/高收费可讨论,预算内,学费候选 35000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F791,上海大学,F79105,2,11,億息工程（中外合作办学）（中法合作.不招色盲考生：办学地点：宝山校区）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,体检或色觉限制；中外合作或高收费,,8,35000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H5-历史最高线高于等位分30分以上,145,82,129,right,M-01246bc817ae017b
COOPMAJOR-ae8013efe4b334b5,G-68789e252ba7cf78,预算内中外合作/高收费可讨论,预算内,学费候选 35000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F829,上海杉达学院,F82902,3,05,建筑电气与智能化（办学地点：金海校,,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,35000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H3-历史最高线高于等位分15分内,4,4,130,right,M-4e2a6b66ba252962
