招生明细主表行ID,主表粒度,是否真实招生明细,是否0明细占位,来源页码,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,专业偏好方向,专业风险类型,机器专业接受度初判,调剂影响初判,官网来源状态,官网证据匹配状态,官网证据覆盖结论,最佳官网来源文件,最佳官网专业名称,最佳官网计划数,最佳官网专业组,最佳官网专业代号,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,计划数核验状态,保真处理状态,保真说明,仍需核验,可进入最终专业列表,可进入下一阶段
ADM-8cf88a24af1765fa,逐专业招生明细,true,false,169,B1-数字媒体技术优先核页,家庭筛选扩展,H450,山东工商学院,H45004,15,53,数据科学与大数据技术,,,5500,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-76873b987c1833ce,逐专业招生明细,true,false,169,B1-数字媒体技术优先核页,家庭筛选扩展,H450,山东工商学院,H45004,16,54,电子科学与技术H451 山东女子学院（公办）（山东）不限,,9,5500,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-2ceef3e570d30721,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03312,1,22,智能视听工程,化学,,5500,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,智能视听工程,4,物理化学组1,56,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-b8ac0f2cbaef0569,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03312,2,23,电子信息工程,,,5500,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,电子信息工程,3,物理化学组1,57,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-d2a99f00d5d32f38,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03312,3,24,人工智能（数字演艺工程方向）,,,5500,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,人工智能（数字演艺工程方向）,2,物理化学组1,58,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-b3e3aea311ce8285,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03312,4,25,数字媒体技术,,12,3,数字媒体技术,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,matched,官网已覆盖专业名称，计划数字段仍需人工复核,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,数字媒体技术,3,物理化学组1,59,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,mismatch,官网专业名匹配但计划数冲突-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-e5aa96ac745a7867,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03313,1,26,数字媒体技术（游戏科学与技术方向）,【化学,,3,数字媒体技术,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,数字媒体技术（游戏科学与技术方向）,3,物理化学组2,54,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-f85619b8e51647c7,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03313,2,27,智能科学与技术,,,5500,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,智能科学与技术,3,物理化学组2,60,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-75060d0223b4a43b,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03313,3,28,数据科学与大数据技术,,,2,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,数据科学与大数据技术,2,物理化学组2,61,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-3dd24aaf7b3bd723,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03313,4,29,网络空间安全,,,5500,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,网络空间安全,2,物理化学组2,63,5500,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-f1c51e50bdd23914,逐专业招生明细,true,false,18,B1-数字媒体技术优先核页,家庭筛选扩展,A033,中国传媒大学,A03313,5,30,网络空间安全（AI 治理与视听安全方,,,5500,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,网络空间安全（AI治理与视听安全方向）,2,物理化学组2,64,5500,"物理,化学(2门科目考生均须选考方可报考)",ocr_prefix_of_official_name,92,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-1029cf596d7a1bd4,逐专业招生明细,true,false,187,B1-数字媒体技术优先核页,家庭筛选扩展,H775,韶关学院,H77505,1,05,数字媒体技术（办学地点：韶乐园校,化学,10,5710,数字媒体技术,,优先了解-命中当前偏好方向,主动填报优先专业候选,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-d87fc6b5a2e7ad49,逐专业招生明细,true,false,199,B1-数字媒体技术优先核页,家庭筛选扩展,H945,南宁学院,H94505,1,22,物联网工程,化学,22500,,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网已覆盖专业名称，计划数字段仍需人工复核,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,物联网工程,2,159,,22500,物理+化学,exact_after_normalization,100,mismatch,官网专业名匹配但计划数冲突-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-03c2ef9220c40c69,逐专业招生明细,true,false,199,B1-数字媒体技术优先核页,家庭筛选扩展,H945,南宁学院,H94505,2,23,数据科学与大数据技术,,2,,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,数据科学与大数据技术,2,160,,22500,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-2085e90c6097b446,逐专业招生明细,true,false,199,B1-数字媒体技术优先核页,家庭筛选扩展,H945,南宁学院,H94505,3,24,数字媒体技术,,22500.,,数字媒体技术,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网已覆盖专业名称，计划数字段仍需人工复核,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,数字媒体技术,3,160,,22500,物理+化学,exact_after_normalization,100,mismatch,官网专业名匹配但计划数冲突-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-03ad9240b8692d84,逐专业招生明细,true,false,199,B1-数字媒体技术优先核页,家庭筛选扩展,H945,南宁学院,H94505,4,25,计算机科学与技术（不招单色不能识别考生）,,22500,,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网已覆盖专业名称，计划数字段仍需人工复核,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,计算机科学与技术,2,159,,22500,物理+化学,contains_after_normalization,85,mismatch,官网专业名匹配但计划数冲突-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-7c2f7f45f052782c,逐专业招生明细,true,false,199,B1-数字媒体技术优先核页,家庭筛选扩展,H945,南宁学院,H94505,5,26,智能科学与技术H948柳州工学院（民办）（广西）,,2,,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,智能科学与技术,2,160,,22500,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-40f4c45670675123,逐专业招生明细,true,false,208,B1-数字媒体技术优先核页,同校偏好专业补充组,K151,成都理工大学,K15114,1,53,数字媒体技术（不能准确在显示器上识别红、黄、绿、蓝、紫各颜色中任何一种颜色的数码、字母者不能录取；宜宾校区就读）,化学,2,6240,数字媒体技术,体检或色觉限制,暂缓判断-特殊限制待核,调剂影响待核,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-0e00f9c4fd11f184,逐专业招生明细,true,false,208,B1-数字媒体技术优先核页,同校偏好专业补充组,K151,成都理工大学,K15114,2,54,智能科学与技术（宜宾校区）,化学,4,6240,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-2a296e854d36f86f,逐专业招生明细,true,false,208,B1-数字媒体技术优先核页,同校偏好专业补充组,K151,成都理工大学,K15114,3,55,电子信息工程（宜宾校区）,化学,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-3bc758747aacad9e,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,1,13,大气科学（办学地点：航空港校区）,,,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,大气科学,3,,,6240,物理+化学,exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-2c9dd50483e79566,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,2,14,应用气象学（办学地点：航空港校区）,,,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,应用气象学,2,,,6240,物理+化学,exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-03d1326b17f5fdfc,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,3,15,电子信息工程（办学地点：航空港校,,,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,电子信息工程,2,,,6240,物理+化学,contains_after_normalization,85,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-4f60086890e4ad9a,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,4,16,通信工程（办学地点：航空港校区）,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,通信工程,2,,,6240,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-5eb604c22855fadc,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,5,17,集成电路设计与集成系统（办学地点：航空港校区）,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,集成电路设计与集成系统,2,,,6240,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-026a1e781e5060cc,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,6,18,测绘工程（办学地点：航空港校区）,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,测绘工程,2,,,6240,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-9f921661bdb7af2f,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,7,19,逻感科学与技术（办学地点：航空港校,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,unmatched,官网留存证据未匹配到该专业,,,,,,,,unmatched,0,not_covered,官网未匹配-专业名或OCR待核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-e3c407236d008ef0,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,8,20,光电信息科学与工程（办学地点：航空港校区）,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,光电信息科学与工程,2,,,6240,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-68a5d7e672e8d330,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,9,21,包象技术与工程（办学地点：航空港校,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,unmatched,官网留存证据未匹配到该专业,,,,,,,,unmatched,0,not_covered,官网未匹配-专业名或OCR待核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-18072f466fc56b78,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,10,22,电气工程及其自动化（办学地点：航空港校区）,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,电气工程及其自动化,2,,,6240,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-5a69aa07c71e474a,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,11,23,自动化（办学地点：航空港校区）,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,自动化,2,,,6240,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
ADM-f374ce1647678389,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,12,24,机器人工程（办学地点：航空港校区）,,2,6240,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称，计划数字段仍需人工复核,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,机器人工程,1,,,6240,物理+化学,exact_after_normalization,100,mismatch,官网专业名匹配但计划数冲突-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-79937574f5e073b1,逐专业招生明细,true,false,209,B1-数字媒体技术优先核页,家庭筛选扩展,K153,成都信息工程大学,K15306,13,25,计算机科学与技术（办学地点：航空港校区）,,2,6240,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网已覆盖专业名称和计划数，仍需核专业组边界、PDF原页和湖北官方系统,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,计算机科学与技术,2,,,6240,物理+化学,exact_after_normalization,100,match,官网专业名和计划数一致-仍待湖北官方系统和PDF原页复核,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业组边界；调剂范围；家庭接受度,false,false
